DEBUG 2023-12-31 15:24:12,446 autoreload File /Users/pduran/Desktop/TFG/ML-GAISSALabel/backend/env/lib/python3.8/site-packages/scipy/linalg/_decomp_svd.py first seen with mtime 1690278917.706176
DEBUG 2023-12-31 15:24:12,446 autoreload File /Users/pduran/Desktop/TFG/ML-GAISSALabel/backend/env/lib/python3.8/site-packages/pandas/io/excel/_openpyxl.py first seen with mtime 1690278764.2794516
DEBUG 2023-12-31 15:24:12,446 autoreload File /Users/pduran/Desktop/TFG/ML-GAISSALabel/backend/env/lib/python3.8/site-packages/pandas/io/formats/format.py first seen with mtime 1690278764.2716255
DEBUG 2023-12-31 15:24:12,446 autoreload File /Users/pduran/Desktop/TFG/ML-GAISSALabel/backend/env/lib/python3.8/site-packages/drf_yasg/renderers.py first seen with mtime 1690290865.9785767
DEBUG 2023-12-31 15:24:12,446 autoreload File /Users/pduran/Desktop/TFG/ML-GAISSALabel/backend/env/lib/python3.8/site-packages/scipy/stats/_stats.cpython-38-darwin.so first seen with mtime 1690278918.5786965
DEBUG 2023-12-31 15:24:12,446 autoreload File /Users/pduran/Desktop/TFG/ML-GAISSALabel/backend/env/lib/python3.8/site-packages/scipy/stats/_qmc_cy.cpython-38-darwin.so first seen with mtime 1690278918.5675642
DEBUG 2023-12-31 15:24:12,447 autoreload File /Users/pduran/Desktop/TFG/ML-GAISSALabel/backend/env/lib/python3.8/site-packages/huggingface_hub/utils/__init__.py first seen with mtime 1703683420.887141
DEBUG 2023-12-31 15:24:12,447 autoreload File /Users/pduran/Desktop/TFG/ML-GAISSALabel/backend/env/lib/python3.8/site-packages/markdown/inlinepatterns.py first seen with mtime 1700316902.883088
DEBUG 2023-12-31 15:24:12,447 autoreload File /Users/pduran/Desktop/TFG/ML-GAISSALabel/backend/env/lib/python3.8/site-packages/scipy/interpolate/_rgi_cython.cpython-38-darwin.so first seen with mtime 1690278918.3302855
DEBUG 2023-12-31 15:24:12,447 autoreload File /Users/pduran/Desktop/TFG/ML-GAISSALabel/backend/env/lib/python3.8/site-packages/scipy/optimize/_trlib/_trlib.cpython-38-darwin.so first seen with mtime 1690278917.7894433
DEBUG 2023-12-31 15:24:12,447 autoreload File /Users/pduran/Desktop/TFG/ML-GAISSALabel/backend/env/lib/python3.8/site-packages/rest_framework/serializers.py first seen with mtime 1690275894.2816038
DEBUG 2023-12-31 15:24:12,447 autoreload File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/shutil.py first seen with mtime 1582584756.0
DEBUG 2023-12-31 15:24:12,447 autoreload File /Users/pduran/Desktop/TFG/ML-GAISSALabel/backend/env/lib/python3.8/site-packages/corsheaders/checks.py first seen with mtime 1699879370.2405453
DEBUG 2023-12-31 15:24:12,447 autoreload File /Users/pduran/Desktop/TFG/ML-GAISSALabel/backend/env/lib/python3.8/site-packages/prometheus_client/process_collector.py first seen with mtime 1698662939.8808424
DEBUG 2023-12-31 15:24:12,447 autoreload File /Users/pduran/Desktop/TFG/ML-GAISSALabel/backend/env/lib/python3.8/site-packages/scipy/optimize/__init__.py first seen with mtime 1690278917.7687988
